,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
5,-0.036682196,-0.029341096,-0.03816233,0.4010855,-0.0047548404,0.11469222,0.13791241,0.24211244,-0.14242923,-0.11853151,0.32543504,-0.24710792,-0.083673105,-0.09393839,-0.13373941,0.2985138,0.241556,-0.243578,-0.748553,0.2507404,0.42532757,0.361502,0.5545467,-0.169804,-0.052664544,0.1649371,-0.0759014,-0.13603564,0.4087556,-0.119076915,0.10334809,-0.009282278,-0.23603138,-0.117861725,-0.49715254,-0.1382317,-0.21269737,0.2928409,0.008430137,0.011404368,-0.08905878,0.23001777,0.33380565,-0.35470185,0.24967635,-0.24777335,0.07465092,0.03371596,-0.098417155,-0.07484262,0.47362244,-0.17944463,-0.10384805,0.8093284,0.14119098,0.1353365,0.20890322,-0.07494821,-0.44828942,0.20894058,-0.00038364582,0.09552031,0.006572613,0.11054756
6,0.4710664,-0.22161622,0.722402,0.23561549,-0.07190246,-0.30855685,-0.13063039,0.30591014,0.38468227,-0.16427204,0.6405578,-0.13524295,0.33535418,-0.47554907,-0.10640011,0.1813857,-0.1151793,0.035215028,-0.39925158,-0.019673523,0.030556837,0.17929919,-0.046438847,-0.28918618,0.065336816,0.45871496,-0.38735902,0.64828664,-0.49850634,0.08117879,-0.46461466,0.26885155,0.13504194,0.24531038,0.12912169,-0.4483714,0.014854341,-0.39689803,0.4861815,-0.09300329,-0.23905835,0.16949831,-0.3407453,0.5193876,0.06429,-0.27278522,-0.0082708,-0.23410977,-0.08780341,-0.10809376,0.40160462,-0.70947784,-0.08486627,0.15381587,-0.41291955,-0.18526407,-0.16259885,0.033266626,-0.1587295,0.6728884,0.06267638,-0.5326968,0.15197939,-0.1223837
8,-0.104906954,-0.58912206,0.38750643,0.09241487,-0.16093996,0.2151318,-0.18566945,-0.022646422,-0.26784098,-0.2797675,0.7645598,0.06290437,-0.45914423,-0.22421901,0.36306202,-0.03631794,0.043209523,-0.0980831,0.07083548,0.24219853,-0.15318581,-0.14768122,0.18067378,-0.1480272,-0.012239621,0.07408349,0.22860643,0.29848778,0.35726234,-0.2651034,-0.26326993,-0.42551735,-0.17007762,-0.3167142,-0.13849942,0.6227069,-0.26136586,-0.103427604,0.20206842,-0.14654924,0.17792909,0.59087855,-0.44508922,-0.15985781,0.5924067,-0.35355017,-0.6014135,-0.12560147,-0.15966953,0.06904363,0.20155893,-0.32532418,0.13468856,-0.05340961,-0.13820256,0.19159015,-0.21935911,-0.53208447,-0.18250094,0.2906027,0.0105578285,-0.2471075,-0.09427855,0.33288607
9,-0.23105894,0.022932995,0.44340166,0.4511005,-0.10922403,-0.2916426,0.41711727,-0.43563443,-0.18768041,-0.100107275,0.2948648,0.010748625,-0.04041564,0.00410543,0.02462274,0.24679437,-0.34594113,-0.048680417,0.3420178,0.4555799,0.038206633,-0.17797606,-0.051918548,-0.0057852757,0.41326898,0.15882142,0.032104783,0.48369318,0.034531016,0.035106987,0.123902224,0.14494902,-0.13501507,0.14131632,-0.041041866,0.27862194,-0.2370562,-0.06926763,0.22108781,0.16037574,0.3534895,0.4544429,-0.14140405,-0.33695075,0.03034848,-0.24202003,0.24955666,-0.016516987,-0.14686842,0.010988334,-0.13393046,-0.19987135,-0.25586087,0.7151969,0.15222767,0.119874366,0.7576156,-0.58901435,-0.21172261,0.37424546,-0.06880301,-0.59406996,-0.11257595,-0.3114299
10,0.29788914,-0.3336711,0.0075518345,0.35427547,0.24579911,0.10774726,0.13845722,-0.6378258,-0.35814565,-0.051719796,0.208561,-0.5446485,-0.05714413,0.19507353,-0.24928163,-0.05553114,-0.293935,-0.12939502,-0.4038643,0.078930534,0.50546104,0.04029549,0.559941,0.13925958,-0.296703,0.47623602,-0.3750853,-0.27198043,0.18785585,-0.26903626,-0.15230545,0.18909252,-0.18653478,-0.065101646,0.45817453,0.14989747,0.2744029,0.34366953,0.2310636,0.34409362,0.17331555,-0.15398833,0.014063802,0.12319123,0.2460962,-0.30000022,0.14266844,-0.22570726,-0.20420428,0.092806764,0.10563127,0.3511328,-0.12675166,0.361189,0.19754381,-0.026608177,0.1118587,-0.16043551,-0.03150195,0.24424292,0.055934962,-0.2057294,0.4144875,0.4572174
11,0.21222238,-0.05046167,0.32702145,-0.12938556,-0.03252524,-0.41470164,-0.08610113,0.20626596,0.05715824,-0.4551483,0.37778756,-0.4783818,-0.021441082,-0.2200698,0.20804784,-0.07812252,0.047139324,-0.097757414,0.41322213,0.35080758,-0.06300783,0.3997517,0.19269836,0.052676763,-0.32654235,0.30768678,-0.5891621,0.12176874,-0.3017868,0.13355482,0.05490085,-0.043536253,0.27006924,-0.2898868,-0.42124665,-0.17278802,0.35644314,0.032475647,0.41708174,0.35574064,0.20024127,-0.15773527,-0.018187363,-0.20611443,0.51660687,-0.4438488,-0.28235373,-0.2640149,0.16635291,-0.6635597,0.09177447,0.042116616,-0.24194348,0.27049586,0.19405305,-0.1681625,0.513754,-0.2778532,-0.12131861,0.3330433,0.27781686,0.24658222,-0.46897906,0.094139986
13,0.1915964,0.056544326,0.009279999,0.25281015,-0.38519377,-0.07811703,0.10565074,-0.3658388,-0.13963135,-0.037472434,0.18347299,-0.46082562,0.14167131,-0.5985789,0.013558353,0.110295214,-0.15414314,0.24337888,-0.016217817,0.43035498,0.022272531,0.23376338,0.34598827,-0.23603742,0.06814496,0.2776101,0.18549545,0.06237978,-0.07204397,-0.45081776,0.441752,0.25685364,-0.4309041,-0.06314894,-0.30188173,-0.042189818,-0.26348653,-0.28861707,-0.54175663,0.5334409,0.46561813,0.47559682,-0.56274116,0.0829059,-0.08704162,-0.22816275,-0.20329219,-0.17693643,-0.53963935,-0.025819752,-0.26168796,-0.13706882,-0.35598373,0.3872045,0.2464069,-0.58661115,0.24039242,-0.34437183,-0.1690912,0.22742406,-0.23674475,-0.24840626,0.006440277,0.028678909
15,0.14348665,0.3293178,0.2738126,0.54663694,-0.2689758,-0.6314658,-0.090440474,-0.12936072,-0.31786105,-0.20519356,0.2802276,-0.37159398,-0.3532954,-0.6469004,-0.031206222,-0.29830602,-0.35037467,-0.2118622,0.43127793,0.22779307,0.782385,0.0430864,0.40294668,0.24405564,0.006982191,0.2631181,-0.07540205,-0.22284189,0.23331761,0.40220073,-0.3134824,0.20627616,0.09131097,-0.2561156,0.16510257,-0.31389678,-0.37931216,-0.33735645,0.34008616,0.12852895,-0.19524243,0.23110306,-0.23933922,-0.16102652,-0.095535144,0.024458967,-0.15276755,-0.00924743,-0.44215,-0.17016084,0.26588187,-0.31304628,-0.054408297,-0.3798855,0.17712016,-0.05681068,0.1660209,-0.5119574,0.16638152,-0.090051025,-0.49904427,-0.0701345,0.24012333,-0.18700573
18,0.41801244,-0.37004438,0.01576883,-0.09889078,0.057935853,0.18086591,0.261343,-0.2688169,0.23351683,0.013101601,0.39050564,-0.25061154,-0.03591408,-0.0596087,-0.16332214,0.4457857,-0.39539692,-0.054329656,-0.352729,0.43852144,-0.016424518,0.30917296,0.3053302,0.049510717,-0.30334815,0.0028460314,0.16874136,0.17479543,-0.32685068,0.003773509,-0.015769923,0.06349929,0.37369117,-0.31777236,-0.43958372,-0.49425608,0.08552244,0.2586814,0.1966701,0.31621298,-0.093259834,-0.10923016,-0.14946301,-0.0010620134,0.18530251,0.14239012,-0.53572506,-0.1968649,-0.49768415,0.09345307,0.3438965,-0.33234274,0.7263306,0.31635207,0.22330935,0.43721768,0.538976,-0.64146376,0.23279978,-0.17903252,0.10045162,-0.41746297,-0.14395483,0.29552233
21,-0.14228165,0.07296037,0.22482675,0.4620026,0.33548123,-0.69267905,-0.10451227,-0.019179275,-0.23517264,0.104186535,0.40169618,-0.05107407,-0.37775972,-0.70072997,-0.40172207,-0.15039739,0.19008009,0.16552731,0.23789656,0.6115986,0.7202043,0.48698488,0.07349881,-0.32563105,0.43904692,-0.33214864,-0.3238112,0.25682363,-0.38716146,0.09693613,0.27707863,-0.050137624,-0.047263447,-0.15948267,-0.048403833,-0.096194066,-0.2306016,-0.5238121,0.021867776,0.390533,-0.2282564,0.12985155,-0.2884973,0.12583752,0.4177807,-0.25661883,0.08777007,0.16803512,-0.07923196,0.005860646,-0.116588145,-0.06572111,0.59011734,-0.18608628,0.016568918,0.183976,-0.15004584,-0.46758533,-0.16692954,-0.19153038,-0.56952894,-0.2801466,0.1779835,-0.11639457
